8020  R  00
8021  R  20
2000  W  85
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
017a  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  86
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0179  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  87
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0178  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  88
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0177  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  89
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0176  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  8a
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0175  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  8b
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0174  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  8c
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0173  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  8d
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0172  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  8e
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0171  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  8f
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0170  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  90
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
016f  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  91
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
016e  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  92
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
016d  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  93
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
016c  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  94
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
016b  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  95
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
016a  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  96
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0169  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  97
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0168  W  b0
801f  R  8d
8020  R  00
8021  R  20
2000  W  98
8022  R  d0
8023  R  f9
8024  R  a9
801d  R  1a
801e  R  08
801e  R  08
801f  R  8d
0167  W  b0
